#,Item No.,Item Description,In Stock,Serial No. Management,Manufacturer,Mfr Code,Item Cost,Issue Price,Inventory Value,Commission %,Item group,Location,Default Warehouse,Valuation Method,Preferred Vendor
1,00103373,PIN Cotter 3/32 x 3/4,1,No,MAHINDRA,,0,0,12.53,0,Items,,,FIFO,
2,007206724b91,filter,0,No,MAHINDRA,,0,0,0,0,Items,,,Moving Average,
3,1036470,RAISED SKID SHOE SET,0,No,KUHN,,250.45,0,0,0,Items,,,Moving Average,
4,13154112130,NUT M25,0,No,MAHINDRA,,0,0,0,0,Items,,,Moving Average,
5,192970 01,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
6,1993AO,MICRO STRING AGENT ORANGE,1,No,EXCALIBUR CROSSBOWS,,24.47,0,24.47,0,Items,,,Moving Average,
7,200.288,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
8,222440,CONTRACTOR ADD-A-GRAPPLE,0,No,WHITES INCORPORATED,,2220.09,0,0,0,Items,,,Moving Average,
9,290539-01,LOCATING PLATE,0,No,SHELBOURNE REYNOLDS,,0,0,0,0,Items,,,Moving Average,
10,31A62-00319,,0,No,SCHULTE,,0,0,0,0,Items,,,Moving Average,
11,341-60034,,0,No,WHITES INCORPORATED,,0,0,0,0,Items,,,Moving Average,
12,3676414,shaft,0,No,RHINO,,0,0,0,0,Items,,,Moving Average,
13,370219A,OIL BATH SEAL,1,No,BONO AUTO PARTS & SERVICE,,30,0,30,0,Items,,,Moving Average,
14,3971994,sensor,120,No,CUMMINS,,23.81,0,2857.2,0,Items,,,Moving Average,
15,404-50076632,BUSH HOG ROTATORY BLADES,0,No,SOUTHERN MARKETING,,58.42,0,0,0,Items,,,Moving Average,
16,4H3,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
17,610-052,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
18,BLT2158,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
19,BRG15050N,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
20,CG-1206A,6' MED/STANDARD CHAIN KIT,0,No,TITAN IMPLEMENT,,351,0,0,0,Items,,,Moving Average,
21,CRT56CO-MAG,REDNECK WINDOW CURTAIN SYSTEM 5X6 CROSSOVER,0,No,REDNECK BLINDS,,46.57,0,0,0,Items,,,Moving Average,
22,CRT56ST-MAG,REDNECK WINDOW CURTAIN SYSTEM 5X6 STALKER,2,No,REDNECK BLINDS,,46.58,0,93.15,0,Items,,,Moving Average,
23,CRT68CO-MAG,REDNECK WINDOW CURTAIN SYSTEM 6X8 GAME CHANGER,2,No,REDNECK BLINDS,,56.92,0,113.84,0,Items,,,Moving Average,
24,HWK-HA2026,CRUZR TREE BRACKET,11,No,"GSM, LLC",,15.51,0,170.6,0,Items,,,Moving Average,
25,HWK-WRFLR-5,WARRIOR FLOOR W/5FT TOWER,2,No,"GSM, LLC",,256.46,0,512.92,0,Items,,,Moving Average,
26,K1602780,BLADE,0,No,KUHN,,0,0,0,0,Items,,,Moving Average,
27,K1602790,BLADE,0,No,KUHN,,0,0,0,0,Items,,,Moving Average,
28,kit01443,auger flight repair kit,0,No,SHELBOURNE REYNOLDS,,0,0,0,0,Items,,,Moving Average,
29,misc chg,Taylor Diesel,1,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
30,MISC LABOR,service call labor,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
31,Misc LABOR M,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
32,misc part,,1,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
33,misc SC,SC mileage,120,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
34,misc SCL,SC labor,2,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
35,misc SCL1,SC labor,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
36,misc SCM,SC mileage,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
37,MUD-BBA002-1,UNIVERSAL WINDOW CURTAIN KIT,20,No,"GSM, LLC",,35.53,0,710.66,0,Items,,,Moving Average,
38,POWERUNIT,POWERUNIT,0,No,TEDDER EQUIPMENT OF NEA,,0,0,0,0,Items,,,Moving Average,
39,"RD-39"" WINDOWS","39"" WINDOW SHADE KIT FITS BUCK PALACE, TROPY TOWER & 6X7 CROSSOVER",8,No,REDNECK BLINDS,,75,0,600,0,Items,,,Moving Average,
40,RD-BBOTHDBP,"BALE BLIND W/SYNTHETIC BURLAP COVER, OUTFITTER-HD",1,No,REDNECK BLINDS,,400,0,400,0,Items,,,Moving Average,
41,RD-SSCAMCOV,REDNECK SOFT SIDED BLIND CAMO COVER ONLY W/BRUSH IN STRAPS-REALTREE TIMBER,0,No,REDNECK BLINDS,,236.85,0,0,0,Items,,,Moving Average,
42,RD-SSCAMDL,SOFT SIDED BLIND FRAME & CAMO COVER-REALTREE TIMBER,0,No,REDNECK BLINDS,,385,0,0,0,Items,,,Moving Average,
43,RD-STD,10 ft Powder Coated Stand,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
44,stratton feed,,0,No,- No Manufacturer -,,0,0,0,0,Items,,,Moving Average,
45,V6321133005,TAPPER ROLLER BEARING,0,No,MAHINDRA,,0,0,0,0,Items,,,Moving Average,
